,biogas,not included,solid biomass
AL,500000.0,10250000.000000002,3833333.3333333335
AT,2194444.4444444445,44499999.99999999,37944444.44444444
BE,14000000.000000002,30277777.77777778,21694444.444444448
BG,1666666.6666666665,27416666.666666668,24083333.333333332
BA,444444.4444444445,26250000.0,6333333.333333332
CH,1527777.7777777778,9694444.444444444,25305555.555555556
CY,1138888.8888888888,277777.7777777778,611111.1111111111
CZ,12638888.88888889,44277777.77777777,35749999.99999999
DE,30972222.22222222,156444444.44444445,197750000.00000003
DK,12166666.666666668,4444444.444444445,18722222.222222216
EE,2277777.7777777775,14666666.666666666,12194444.444444446
ES,28888888.888888888,187305555.55555555,73305555.55555555
FI,1833333.3333333333,53888888.88888889,64583333.33333334
FR,71833333.33333334,324111111.1111111,149027777.77777776
GR,2111111.111111111,20444444.444444444,10777777.777777778
HR,916666.6666666666,17944444.444444444,7916666.666666666
HU,17166666.666666664,53750000.0,30416666.66666666
IE,5111111.111111111,9055555.555555556,5611111.111111111
IS,111111.11111111112,0.0,277777.7777777778
IT,33138888.888888884,141111111.1111111,63388888.88888889
LT,3972222.2222222225,43277777.777777776,14555555.555555558
LU,416666.6666666666,944444.4444444444,944444.4444444444
LV,2194444.4444444445,20638888.888888888,21277777.777777776
ME,55555.55555555556,1500000.0,7166666.666666667
MK,222222.22222222225,7194444.444444444,3916666.6666666665
MT,111111.11111111112,0.0,1138888.8888888888
NL,13694444.444444442,20083333.33333333,17777777.77777778
NO,1000000.0,21083333.333333336,37138888.88888889
PL,21944444.444444444,153583333.3333333,89666666.66666666
PT,6305555.555555556,16833333.333333332,22138888.888888888
RO,6555555.555555555,135472222.22222224,66499999.999999985
RS,2916666.6666666665,17916666.666666668,19166666.666666668
SE,5138888.888888888,94916666.66666667,106250000.00000001
SI,444444.4444444445,10333333.333333334,11583333.333333334
SK,3722222.2222222225,17944444.444444444,17861111.111111112
GB,44138888.888888896,115500000.0,36000000.0
